날짜,종가,오픈,고가,저가,변동 %
2022년 02월 28일,1.622,1.684,1.706,1.6,-3.55%
2022년 02월 27일,1.6817,1.6872,1.6926,1.6817,-4.49%
2022년 02월 25일,1.7607,1.752,1.813,1.736,0.19%
2022년 02월 24일,1.7573,1.757,1.768,1.638,-1.66%
2022년 02월 23일,1.787,1.76,1.806,1.752,1.71%
2022년 02월 22일,1.7569,1.643,1.76,1.632,6.94%
2022년 02월 21일,1.6429,1.6375,1.6429,1.6375,-2.09%
2022년 02월 18일,1.678,1.675,1.735,1.661,-1.39%
2022년 02월 17일,1.7017,1.742,1.758,1.693,-3.36%
2022년 02월 16일,1.7609,1.798,1.823,1.726,-2.38%
2022년 02월 15일,1.8039,1.801,1.834,1.777,0.47%
2022년 02월 14일,1.7955,1.744,1.844,1.715,4.72%
2022년 02월 11일,1.7146,1.82,1.852,1.701,-6.89%
2022년 02월 10일,1.8415,1.631,1.866,1.596,13.07%
2022년 02월 09일,1.6286,1.602,1.637,1.575,3.29%
2022년 02월 08일,1.5767,1.532,1.588,1.532,3.09%
2022년 02월 07일,1.5294,1.543,1.557,1.518,-1.05%
2022년 02월 06일,1.5456,1.5511,1.5511,1.5456,0.36%
2022년 02월 04일,1.5401,1.432,1.554,1.422,7.74%
2022년 02월 03일,1.4294,1.353,1.438,1.345,4.82%
2022년 02월 02일,1.3637,1.383,1.394,1.35,-1.36%
2022년 02월 01일,1.3825,1.388,1.418,1.334,-0.18%
