날짜,종가,오픈,고가,저가,변동 %
2020년 02월 28일,"1,200.20","1,212.68","1,218.56","1,199.59",-1.03%
2020년 02월 27일,"1,212.63","1,212.81","1,218.82","1,206.76",0.03%
2020년 02월 26일,"1,212.31","1,216.04","1,220.63","1,211.83",-0.27%
2020년 02월 25일,"1,215.54","1,219.17","1,220.33","1,208.84",-0.29%
2020년 02월 24일,"1,219.08","1,206.97","1,222.96","1,206.97",1.01%
2020년 02월 21일,"1,206.91","1,205.21","1,215.27","1,202.94",0.18%
2020년 02월 20일,"1,204.71","1,193.00","1,208.99","1,191.42",1.02%
2020년 02월 19일,"1,192.50","1,191.05","1,193.90","1,187.50",0.13%
2020년 02월 18일,"1,190.95","1,185.38","1,192.48","1,184.28",0.48%
2020년 02월 17일,"1,185.25","1,183.44","1,185.88","1,179.19",0.24%
2020년 02월 14일,"1,182.46","1,184.59","1,185.85","1,180.48",-0.09%
2020년 02월 13일,"1,183.58","1,179.51","1,185.02","1,178.24",0.43%
2020년 02월 12일,"1,178.51","1,182.29","1,184.21","1,176.06",-0.23%
2020년 02월 11일,"1,181.25","1,188.17","1,188.57","1,180.42",-0.50%
2020년 02월 10일,"1,187.17","1,192.39","1,194.50","1,185.33",-0.35%
2020년 02월 07일,"1,191.39","1,186.28","1,196.29","1,184.72",0.52%
2020년 02월 06일,"1,185.28","1,184.40","1,186.77","1,177.71",0.16%
2020년 02월 05일,"1,183.40","1,183.90","1,192.90","1,180.18",0.04%
2020년 02월 04일,"1,182.90","1,190.81","1,194.28","1,183.24",-0.58%
2020년 02월 03일,"1,189.79","1,195.96","1,199.44","1,190.17",-0.43%
